Date,Num_deaths
2020-03-20,1
2020-03-21,1
2020-03-22,3
2020-03-23,4
2020-03-24,2
2020-03-25,4
2020-03-26,10
2020-03-27,10
2020-03-28,9
2020-03-29,4
2020-03-30,8
2020-03-31,33
2020-04-01,33
2020-04-02,32
2020-04-03,38
2020-04-04,24
2020-04-05,15
2020-04-06,29
2020-04-07,96
2020-04-08,77
2020-04-09,70
2020-04-10,96
2020-04-11,87
2020-04-12,70
2020-04-13,88
2020-04-14,113
2020-04-15,151
2020-04-16,137
2020-04-17,159
2020-04-18,156
2020-04-19,146
2020-04-20,103
2020-04-21,152
2020-04-22,221
2020-04-23,178
2020-04-24,196
2020-04-25,174
2020-04-26,169
2020-04-27,104
2020-04-28,150
2020-04-29,252
2020-04-30,157
2020-05-01,154
2020-05-02,130
2020-05-03,158
2020-05-04,86
2020-05-05,122
2020-05-06,208
2020-05-07,132
2020-05-08,150
2020-05-09,138
2020-05-10,139
2020-05-11,129
2020-05-12,33
2020-05-13,174
2020-05-14,167
2020-05-15,110
2020-05-16,113
2020-05-17,92
